Section,Check item,Evidence requested,Rating 0-2,Critical,Notes
Company identity,Legal entity matches quotation and bank beneficiary,Business license and bank details,,Yes,
Business model,Factory or trading company clearly identified,Site evidence and process ownership,,Yes,
Production scope,Core processes are performed in-house,Process list and production-floor evidence,,Yes,
Subcontracting,Outsourced processes are declared,Approved subcontractor list,,Yes,
Capacity,Available capacity supports forecast volume,Machine list shifts and monthly capacity,,No,
Equipment,Key production equipment is appropriate and maintained,Equipment list and maintenance records,,No,
Incoming quality,Incoming materials are inspected,IQC procedure and recent records,,Yes,
In-process quality,Defined process inspection points exist,IPQC instructions and records,,Yes,
Final quality,Final inspection is defined before release,OQC procedure and recent reports,,Yes,
Calibration,Inspection tools are calibrated,Calibration register and certificates,,Yes,
Traceability,Batches or lots can be traced to material and production records,Traceability example,,Yes,
Nonconformance,Defects are segregated and dispositioned,NCR procedure and examples,,Yes,
Corrective action,Recurring defects have root-cause and CAPA records,CAPA examples,,No,
Document control,Drawings specifications and revisions are controlled,Document-control procedure,,Yes,
Change control,Material process or supplier changes require approval,Engineering change procedure,,Yes,
Sample control,Approved or golden samples are controlled,Sample register and storage method,,No,
Certifications,Required product or management certifications are valid,Certificates and issuing bodies,,Depends,
Export readiness,Export documents packaging and shipping marks can be controlled,Recent export-document examples,,No,
Business continuity,Critical equipment material and supplier risks are understood,Contingency plan,,No,
Audit conclusion,Critical gaps and required corrective actions are recorded,Corrective-action list,,Yes,
