Packaging level,Specification item,Requirement,Test or verification,Acceptance criteria,Notes
Unit pack,Product protection,,,,
Unit pack,Material and thickness,,,,
Unit pack,Dimensions,,,,
Unit pack,Label content and placement,,,,
Inner pack,Quantity per inner pack,,,,
Inner pack,Separators inserts or trays,,,,
Inner pack,Moisture or anti-static protection,,,,
Master carton,Units per carton,,,,
Master carton,Carton dimensions,,,,
Master carton,Board grade or burst strength,,,,
Master carton,Net and gross weight limits,,,,
Master carton,Sealing method,,,,
Master carton,Shipping marks,,,,
Master carton,Barcode and SKU labels,,,,
Pallet,Pallet size and material,,,,
Pallet,Cartons per layer and layers,,,,
Pallet,Maximum pallet height and weight,,,,
Pallet,Stretch wrap straps and corner protection,,,,
Transport,Drop or vibration requirement,,,,
Transport,Moisture protection and desiccant,,,,
Compliance,Destination packaging or recycling marks,,,,
Approval,Approved packaging sample or artwork revision,,,,
