Approval item,Requirement or reference,Sample result,Status,Change request or deviation,Owner,Approval date,Notes
Product identity,Model SKU and drawing revision,,,,,,
Material,Grade composition finish or supplier requirement,,,,,,
Critical dimensions,Drawing tolerances and CTQ dimensions,,,,,,
Color and appearance,Approved color standard texture gloss and workmanship,,,,,,
Function,Functional test and pass criteria,,,,,,
Performance,Performance parameters and test method,,,,,,
Interface and fit,Mating parts connectors mounting or assembly fit,,,,,,
Marking,Logo model labels serial or batch marking,,,,,,
Accessories,Manual cable fastener tool insert or spare parts,,,,,,
Primary packaging,Unit pack protection and presentation,,,,,,
Outer packaging,Carton dimensions strength quantity and shipping marks,,,,,,
Barcode,Barcode type content placement and readability,,,,,,
Compliance evidence,Required certificates declarations and test reports,,,,,,
Golden sample,Reference sample ID and storage location,,,,,,
Open issues,All remaining deviations and corrective actions,,,,,,
Mass-production release,Final authorization to proceed with production,,,,,,
