Section,PO control item,Required,Confirmed,Evidence or reference,Notes
Supplier,Legal entity name matches approved supplier,Yes,,,
Supplier,Bank beneficiary matches approved supplier,Yes,,,
Product,Model SKU and description are unambiguous,Yes,,,
Product,Drawing or specification revision is stated,Yes,,,
Product,Approved sample or golden-sample reference is stated,If applicable,,,
Commercial,Unit price and currency are stated,Yes,,,
Commercial,Quantity and tolerance are stated,Yes,,,
Commercial,MOQ or batch assumptions are understood,Yes,,,
Commercial,Tooling mold NRE and ownership terms are stated,If applicable,,,
Commercial,Payment terms and milestones are stated,Yes,,,
Delivery,Incoterm and named place are stated,Yes,,,
Delivery,Required ex-factory or ship date is stated,Yes,,,
Delivery,Partial shipment policy is stated,If applicable,,,
Quality,Inspection standard and acceptance criteria are referenced,Yes,,,
Quality,Pre-shipment inspection requirement is stated,If applicable,,,
Quality,Required certificates and test reports are listed,If applicable,,,
Change control,No material process packaging or subcontractor change without approval,Yes,,,
Packaging,Approved packaging specification or artwork revision is stated,Yes,,,
Packaging,Shipping marks carton labels and barcode requirements are stated,Yes,,,
Documentation,Commercial invoice packing list COO and other documents are listed,As required,,,
Warranty,Warranty or defect-response terms are stated,If applicable,,,
Claims,Nonconforming-product and corrective-action process is understood,Yes,,,
Final review,All attachments named in the PO are attached and current,Yes,,,
Final review,Buyer and supplier have acknowledged the same PO revision,Yes,,,
