Category,Inspection item,Method or sample plan,Acceptance criteria,Result,Defect class,Notes
Order verification,PO model and revision match approved order,Document check,Exact match,,, 
Quantity,Finished quantity and packed quantity,Count or carton tally,PO quantity or agreed tolerance,,, 
Golden sample,Production matches approved sample,Side-by-side comparison,No unauthorized deviation,,, 
Visual,Surface finish color workmanship and contamination,Random sample inspection,Per approved standard and defect limits,,, 
Dimensions,Critical dimensions and tolerances,Calibrated tools,Per drawing or specification,,, 
Function,Core product functions,Functional test,All sampled units pass defined test,,, 
Performance,Specified performance parameters,Test method per specification,Within specified limits,,, 
Safety,Required safety features and warnings,Visual and functional check,Complete and compliant,,, 
Marking,Product labels model serial or batch information,Visual check,Correct legible and durable,,, 
Packaging,Inner packaging protection and unit pack,Visual and drop-risk review,Matches approved packaging spec,,, 
Cartons,Outer carton size strength sealing and condition,Measure and inspect,Matches approved packaging spec,,, 
Shipping marks,Carton marks PO SKU quantity and destination,Visual check,Exact match to shipping instructions,,, 
Barcode,Barcode content and scan quality,Scan sample,Correct data and readable,,, 
Accessories,Manuals cables spare parts tools and inserts,Count against BOM,Complete per BOM,,, 
Documentation,Inspection certificates test reports and compliance documents,Document check,Complete before shipment,,, 
Photos,Product packaging labels cartons and container evidence,Photo record,Required evidence captured,,, 
Container loading,Loading quantity stowage moisture and damage controls,Loading supervision if applicable,Matches loading plan,,, 
Retention sample,Reference sample retained when required,Record sample ID,Traceable and stored,,, 
Release decision,Open defects concessions and corrective actions reviewed,Final review,Shipment released only after approval,,, 
